Período,Total,xDSL,Fiber to the cabinet (FTTC),Fiber to the x (FTTx),Otras tecnologï¿½as inalï¿½mbrica,Fiber to the home (FTTH),Cable,Hybrid Fiber Coaxial (HFC),WiFi,Otras tecnologï¿½as fijas,Satelital,WiMAX,Fiber to the node (FTTN),Fiber to the antenna (FTTA),Fiber to the building o fiber to the basement (FTTB),FIBRA OPTICA,RADIO MICRO-ONDAS
2015_4,1007201,858692,0,0,34177,0,1202,0,1420,101238,0,0,0,0,0,53,10419
2016_1,890154,845398,0,0,37040,0,1196,0,1180,0,0,0,0,0,0,2577,2763
2016_2,1030670,849672,0,0,38997,0,1189,0,1940,135130,0,0,0,0,0,531,3211
2016_3,1038563,850666,0,0,43733,0,1,0,1402,141919,0,0,0,0,0,549,293
2016_4,1028905,820626,0,0,49733,0,4972,0,1593,143768,0,0,0,0,0,3207,5006
2017_1,1053597,831412,0,0,55354,0,3682,0,1788,152321,0,340,0,0,0,3359,5341
2017_2,1070439,777961,0,201590,67006,7540,10190,362,4518,0,892,252,0,128,0,0,0
2017_3,1078208,749811,0,224432,73690,11092,14280,666,3003,0,847,387,0,0,0,0,0
2017_4,1082760,713617,154488,98909,74228,12799,18872,4049,4564,0,847,387,0,0,0,0,0
2018_1,1115198,710746,155379,114042,81958,18496,16555,12356,5645,0,0,0,0,0,21,0,0
2018_2,1144671,706908,155379,116466,86938,37778,16929,14637,8394,0,835,407,0,0,0,0,0
2018_3,1139806,695071,130570,115576,91918,53650,20026,18831,12779,138,832,415,0,0,0,0,0
2018_4,1147349,681020,130530,112348,93279,70023,26677,18439,12315,1168,900,415,235,0,0,0,0
